Crop,N,P,K,pH,Rainfall,Temperature,Humidity,Season
Cotton,66,51,26,6.26,138.18,31.22,41.11,Kharif
Sugarcane,106,44,58,7.49,140.32,30.81,78.13,Zaid
Rice,116,63,66,6.37,177.94,29.92,79.85,Kharif
Rice,109,69,57,6.73,226.21,28.42,88.99,Kharif
Cotton,90,39,36,6.0,133.01,25.36,43.75,Kharif
Wheat,98,57,31,7.09,56.93,21.33,42.21,Rabi
Millet,56,47,30,6.15,47.03,23.23,40.1,Kharif
Millet,53,38,27,6.78,40.46,29.28,41.76,Kharif
Cotton,57,31,50,6.71,108.35,23.3,44.76,Kharif
Rice,93,46,72,5.56,262.64,34.33,70.19,Kharif
Sugarcane,118,55,68,7.15,160.58,24.4,60.02,Kharif
Sugarcane,106,79,47,7.15,184.09,34.48,73.67,Kharif
Cotton,76,30,34,5.61,126.59,28.11,42.28,Kharif
Millet,42,44,50,6.61,60.99,26.51,40.4,Kharif
Wheat,76,35,52,6.61,109.21,18.02,41.3,Rabi
Maize,77,64,56,6.74,100.96,26.76,52.02,Kharif
Sugarcane,143,45,75,7.2,210.5,22.74,70.29,Zaid
Cotton,66,30,26,7.48,113.14,30.95,50.53,Kharif
Millet,46,44,50,6.31,99.86,25.52,47.65,Kharif
Rice,95,60,69,5.54,200.29,27.29,70.03,Kharif
Sugarcane,144,76,75,6.09,140.7,25.28,70.87,Zaid
Wheat,69,58,57,6.13,55.59,14.6,40.72,Rabi
Rice,99,47,59,6.56,247.24,34.0,82.51,Kharif
Rice,82,48,67,6.64,255.67,30.31,71.13,Kharif
Rice,119,62,75,5.8,203.33,22.18,73.9,Kharif
Cotton,79,28,40,6.4,73.65,30.49,54.57,Kharif
Maize,73,51,46,6.63,153.0,29.62,54.65,Kharif
Maize,81,47,42,6.86,134.06,26.08,58.76,Zaid
Wheat,99,41,45,6.25,67.39,19.09,42.33,Rabi
Rice,110,60,77,5.57,276.44,29.61,70.18,Kharif
Maize,110,54,41,6.1,170.33,19.32,66.86,Zaid
Wheat,85,48,54,6.91,69.55,12.69,41.46,Rabi
Millet,39,40,44,5.71,77.88,30.96,51.7,Kharif
Maize,88,56,62,6.81,157.99,28.83,56.23,Zaid
Cotton,72,42,52,6.35,98.49,28.65,47.12,Kharif
Millet,70,50,26,5.38,98.48,24.14,53.07,Kharif
Maize,104,49,50,6.1,157.08,20.75,60.42,Kharif
Sugarcane,98,62,57,6.43,140.22,34.89,67.56,Kharif
Wheat,97,56,33,6.58,117.31,16.49,51.68,Rabi
Sugarcane,135,53,59,6.97,171.18,30.22,72.4,Zaid
Maize,108,51,49,6.67,92.61,26.66,58.27,Zaid
Maize,99,63,35,6.9,137.53,19.62,60.95,Zaid
Cotton,89,51,29,6.22,99.14,26.9,45.71,Kharif
Maize,108,43,52,6.32,131.88,21.85,55.86,Zaid
Rice,120,49,72,5.95,270.35,27.16,88.09,Kharif
Maize,95,44,51,6.98,125.39,24.78,66.7,Zaid
Millet,49,26,44,6.67,69.61,21.14,35.6,Kharif
Sugarcane,112,57,53,6.14,232.35,31.99,68.91,Kharif
Maize,71,57,58,6.63,83.83,21.5,68.19,Zaid
Cotton,70,40,30,7.01,111.6,30.75,48.25,Kharif
Millet,70,31,46,5.19,77.9,30.55,34.46,Kharif
Millet,30,50,41,6.1,47.56,30.42,50.93,Kharif
Cotton,76,47,25,6.43,96.42,26.53,41.32,Kharif
Rice,117,55,58,6.71,281.89,32.43,81.77,Kharif
Rice,85,54,61,6.28,152.02,20.64,83.55,Kharif
Wheat,63,41,44,6.25,113.79,20.44,54.33,Rabi
Cotton,58,42,27,6.92,113.52,26.0,56.22,Kharif
Wheat,69,38,39,6.6,103.49,15.99,56.71,Rabi
Millet,69,42,42,6.35,53.11,24.45,32.62,Kharif
Cotton,76,35,37,7.1,136.59,24.73,57.43,Kharif
Millet,67,41,23,6.03,44.34,27.63,49.48,Kharif
Rice,102,41,60,6.14,181.92,30.09,72.36,Kharif
Sugarcane,92,65,55,6.83,218.45,29.61,68.18,Kharif
Rice,83,56,72,6.39,171.27,25.31,76.42,Kharif
Wheat,79,31,38,7.04,92.17,12.12,58.79,Rabi
Sugarcane,102,62,53,6.45,163.63,21.39,75.5,Kharif
Sugarcane,118,57,42,6.26,205.71,30.74,64.29,Zaid
Maize,74,41,43,6.43,145.36,27.11,59.42,Zaid
Sugarcane,125,71,60,6.5,206.03,31.06,78.46,Zaid
Wheat,97,57,60,6.32,85.56,16.11,44.64,Rabi
Cotton,88,33,44,5.91,135.44,35.0,46.45,Kharif
Maize,98,39,38,6.21,155.6,20.75,62.5,Kharif
Millet,64,44,49,6.54,86.05,27.85,31.97,Kharif
Wheat,69,53,54,6.04,113.29,10.3,40.59,Rabi
Rice,87,60,80,6.2,248.92,33.4,79.1,Kharif
Sugarcane,128,67,45,7.22,126.49,23.64,79.26,Kharif
Wheat,97,57,32,6.7,66.78,24.18,54.7,Rabi
Rice,104,58,71,5.76,157.28,21.49,86.83,Kharif
Cotton,53,34,26,6.48,116.96,21.52,57.96,Kharif
Cotton,78,26,47,6.33,139.07,27.01,57.12,Kharif
Wheat,79,30,30,7.43,67.7,13.99,52.6,Rabi
Millet,30,20,25,6.4,51.44,23.8,33.41,Kharif
Millet,69,39,44,6.89,49.94,20.31,47.45,Kharif
Wheat,92,55,45,6.36,56.07,17.51,57.8,Rabi
Wheat,80,60,43,7.45,68.48,15.24,42.98,Rabi
Cotton,55,51,50,6.51,134.48,29.98,45.27,Kharif
Wheat,80,51,36,6.58,56.89,14.61,57.96,Rabi
Cotton,68,53,54,7.46,92.4,31.6,46.11,Kharif
Wheat,82,47,46,7.23,70.98,20.55,44.4,Rabi
Cotton,50,32,44,6.35,68.68,23.36,59.65,Kharif
Rice,107,55,78,6.15,275.44,28.23,72.03,Kharif
Cotton,64,46,40,6.02,117.06,26.32,50.97,Kharif
Millet,46,28,40,6.6,73.3,25.39,34.58,Kharif
Rice,107,55,65,6.64,224.78,23.33,86.1,Kharif
Rice,97,53,80,5.84,295.04,24.63,77.27,Kharif
Maize,78,47,64,5.81,109.61,23.73,57.89,Zaid
Maize,84,62,37,6.03,132.06,23.37,65.83,Zaid
Millet,45,20,43,5.39,45.58,31.33,48.58,Kharif
Rice,114,53,60,6.66,176.64,28.03,84.27,Kharif
Sugarcane,129,71,40,6.76,158.93,23.04,70.53,Kharif
Cotton,51,55,39,6.47,88.64,29.42,53.5,Kharif
Sugarcane,128,43,79,7.01,135.95,23.58,83.66,Kharif
Millet,66,45,26,6.18,48.53,26.24,36.32,Kharif
Millet,54,43,48,6.25,70.66,20.26,33.24,Kharif
Sugarcane,106,75,58,6.22,180.48,23.8,65.59,Kharif
Wheat,85,49,54,7.46,105.64,13.82,48.18,Rabi
Millet,57,45,31,6.13,72.09,24.82,45.99,Kharif
Sugarcane,106,54,60,6.65,129.26,21.68,75.59,Zaid
Cotton,50,43,35,7.39,137.46,26.86,44.35,Kharif
Sugarcane,98,68,56,6.9,188.67,34.57,80.4,Kharif
Wheat,74,56,56,6.07,52.12,24.71,42.29,Rabi
Maize,109,54,50,6.38,172.0,18.88,69.14,Zaid
Cotton,78,41,43,6.8,88.42,29.57,54.22,Kharif
Sugarcane,136,74,45,6.69,241.66,30.95,69.32,Zaid
Cotton,89,40,28,5.88,121.35,22.29,57.36,Kharif
Cotton,61,26,33,7.45,99.69,34.34,49.17,Kharif
Sugarcane,146,76,46,7.08,200.55,26.25,79.81,Zaid
Millet,31,26,36,6.73,79.19,29.61,52.38,Kharif
Rice,109,64,63,6.62,272.31,21.3,74.78,Kharif
Rice,107,62,55,5.6,195.24,20.55,86.78,Kharif
Wheat,62,56,40,6.17,100.01,12.2,41.22,Rabi
Millet,37,39,36,5.88,42.94,27.0,34.99,Kharif
Cotton,52,32,29,6.71,149.18,28.66,52.94,Kharif
Rice,91,67,43,6.19,269.93,31.89,83.96,Kharif
Wheat,90,34,41,6.27,105.95,14.81,50.24,Rabi
Millet,56,41,41,5.26,80.77,29.81,30.32,Kharif
Cotton,66,45,46,6.02,74.49,23.63,54.5,Kharif
Sugarcane,115,75,55,7.44,186.96,22.19,63.7,Kharif
Wheat,98,51,43,6.98,62.05,11.63,40.0,Rabi
Maize,83,65,46,6.87,104.04,27.54,53.98,Zaid
Maize,84,53,60,6.83,129.72,18.27,69.44,Zaid
Wheat,95,47,44,7.46,106.51,23.96,51.15,Rabi
Wheat,70,31,59,7.13,66.52,12.19,40.84,Rabi
Millet,57,21,40,6.97,54.99,30.4,37.91,Kharif
Cotton,60,38,54,6.62,97.51,30.4,48.15,Kharif
Sugarcane,111,73,49,6.4,164.17,20.27,81.3,Kharif
Millet,33,39,42,5.77,60.38,23.98,52.38,Kharif
Rice,104,59,56,6.27,242.18,30.83,83.62,Kharif
Rice,83,66,67,5.66,289.25,30.25,72.54,Kharif
Maize,90,42,35,6.77,175.54,21.06,67.15,Kharif
Millet,59,30,33,6.9,90.63,29.96,54.35,Kharif
Cotton,88,42,50,6.26,77.13,27.77,58.51,Kharif
Wheat,99,58,52,6.63,59.58,22.73,59.39,Rabi
Maize,97,52,39,6.43,161.37,23.74,60.9,Kharif
Cotton,69,44,41,7.24,142.56,34.27,45.45,Kharif
Rice,84,57,59,6.37,242.2,29.49,74.5,Kharif
Cotton,68,31,46,6.88,138.77,26.65,50.95,Kharif
Cotton,66,50,52,7.48,149.93,33.47,52.79,Kharif
Wheat,82,59,56,7.44,93.98,10.75,59.78,Rabi
Cotton,62,30,36,6.57,86.49,23.48,43.55,Kharif
Sugarcane,114,63,76,6.7,133.47,33.26,72.18,Kharif
Cotton,72,50,30,5.71,76.93,33.85,52.59,Kharif
Sugarcane,107,71,41,6.45,217.94,21.53,64.72,Kharif
Sugarcane,143,53,64,7.46,187.98,22.81,68.02,Zaid
Wheat,67,52,38,7.19,71.07,11.05,59.78,Rabi
Sugarcane,104,68,62,6.41,204.76,29.83,72.33,Zaid
Rice,92,59,67,6.17,234.88,20.03,89.6,Kharif
Wheat,91,60,38,7.28,60.64,10.37,49.89,Rabi
Sugarcane,129,60,44,7.45,148.16,31.23,83.16,Zaid
Rice,107,45,75,6.19,164.98,26.75,76.53,Kharif
Rice,112,60,49,5.8,170.22,33.36,77.81,Kharif
Wheat,61,56,34,6.48,50.3,23.67,55.21,Rabi
Rice,117,44,57,6.18,164.41,34.47,87.88,Kharif
Millet,65,28,28,5.74,68.85,22.03,44.44,Kharif
Cotton,50,51,33,6.87,107.6,33.81,56.62,Kharif
Millet,53,40,35,5.38,74.21,31.22,38.63,Kharif
Cotton,63,51,49,6.83,67.8,30.01,52.12,Kharif
Maize,107,65,54,6.85,101.05,18.91,62.07,Kharif
Rice,93,50,71,6.76,221.65,20.09,81.93,Kharif
Cotton,51,31,28,6.55,100.24,30.3,41.28,Kharif
Cotton,80,29,38,7.14,136.19,33.05,52.39,Kharif
Rice,104,66,42,5.58,196.42,22.62,82.4,Kharif
Millet,54,42,30,6.59,40.77,29.85,34.46,Kharif
Cotton,86,44,51,6.13,99.94,27.91,57.25,Kharif
Cotton,63,41,54,5.59,129.78,24.25,46.7,Kharif
Wheat,67,60,60,7.34,81.82,22.89,42.03,Rabi
Cotton,84,51,26,6.8,73.77,27.61,41.89,Kharif
Wheat,81,39,46,6.67,98.21,17.28,47.06,Rabi
Maize,109,45,50,6.56,162.66,20.12,57.47,Zaid
Maize,77,40,59,6.94,133.8,21.44,57.08,Kharif
Rice,94,44,53,5.53,151.19,23.37,85.99,Kharif
Rice,83,43,57,6.23,255.91,34.29,88.26,Kharif
Millet,67,47,35,5.07,97.65,28.35,34.66,Kharif
Maize,80,45,57,6.56,163.12,28.84,57.85,Kharif
Wheat,87,33,57,7.12,53.68,13.79,56.83,Rabi
Millet,59,38,39,6.25,64.95,29.63,37.38,Kharif
Cotton,81,48,43,5.77,66.03,32.03,53.52,Kharif
Rice,98,59,46,6.01,259.26,31.43,87.0,Kharif
Cotton,52,27,35,5.57,70.4,31.86,56.26,Kharif
Maize,110,56,45,6.89,122.11,19.38,66.78,Kharif
Cotton,64,39,47,7.14,63.17,25.89,53.27,Kharif
Maize,72,50,40,6.94,108.73,23.85,58.0,Zaid
Cotton,70,40,35,6.34,117.72,23.66,55.46,Kharif
Sugarcane,115,61,54,6.77,230.13,29.24,73.87,Kharif
Wheat,76,53,51,7.2,63.33,14.16,44.59,Rabi
Millet,70,37,33,6.59,63.34,20.95,40.61,Kharif
Sugarcane,114,79,48,6.45,232.09,26.1,71.77,Zaid
Cotton,88,40,52,7.34,132.04,24.22,49.72,Kharif
Rice,119,46,66,6.56,166.39,26.23,78.56,Kharif
Wheat,79,43,57,6.33,57.2,19.27,43.48,Rabi
Sugarcane,94,45,47,6.54,153.76,21.39,74.01,Kharif
Rice,112,63,78,6.19,210.36,34.32,86.99,Kharif
Cotton,72,28,41,7.06,77.47,30.78,57.11,Kharif
Rice,102,52,46,5.66,218.21,33.47,79.81,Kharif
Wheat,95,47,51,6.4,56.65,13.14,55.83,Rabi
Cotton,58,53,26,7.13,65.12,25.65,41.89,Kharif
Cotton,54,27,39,6.27,138.43,28.23,45.91,Kharif
Sugarcane,103,53,50,6.33,170.51,24.67,77.61,Zaid
Wheat,67,42,59,7.2,79.97,22.96,40.0,Rabi
Millet,52,38,49,6.43,54.1,24.56,39.51,Kharif
Cotton,73,34,43,7.28,77.9,24.1,56.92,Kharif
Sugarcane,136,75,64,6.09,131.74,23.92,79.04,Kharif
Maize,98,47,54,6.64,88.75,29.98,62.7,Zaid
Wheat,87,39,33,6.06,86.15,14.92,42.26,Rabi
Rice,107,56,80,5.85,208.42,25.53,83.44,Kharif
Cotton,69,48,41,5.72,78.68,29.5,54.64,Kharif
Sugarcane,126,40,45,6.08,244.67,22.52,76.71,Zaid
Cotton,53,53,31,5.56,115.15,29.58,54.51,Kharif
Millet,31,46,35,5.28,60.86,27.66,42.39,Kharif
Cotton,88,55,28,7.06,74.04,23.41,56.62,Kharif
Millet,68,44,30,5.72,44.58,27.45,38.49,Kharif
Wheat,76,59,48,6.63,74.4,11.29,44.1,Rabi
Maize,107,65,36,5.88,134.4,18.65,60.23,Kharif
Millet,46,50,21,6.47,71.07,29.66,47.62,Kharif
Rice,87,48,73,6.3,208.31,30.71,82.38,Kharif
Sugarcane,96,51,56,7.03,209.65,28.58,77.23,Kharif
Maize,76,48,44,6.55,97.58,26.05,69.34,Zaid
Rice,115,61,71,6.14,188.39,30.85,75.4,Kharif
Cotton,76,25,34,7.31,79.04,32.71,42.62,Kharif
Wheat,79,33,52,6.46,52.92,14.42,58.1,Rabi
Sugarcane,98,63,80,6.16,162.83,22.84,60.58,Kharif
Maize,109,45,52,6.37,88.15,19.7,64.91,Zaid
Maize,107,53,49,6.0,89.84,25.09,64.83,Kharif
Millet,67,20,38,5.69,87.11,28.02,30.14,Kharif
Cotton,89,43,30,6.79,95.71,33.34,53.02,Kharif
Maize,89,62,56,5.88,131.6,23.09,59.09,Kharif
Rice,119,59,69,6.62,247.72,33.35,88.26,Kharif
Rice,103,40,67,5.91,275.46,30.99,73.97,Kharif
Maize,106,56,63,6.94,100.19,28.44,63.36,Zaid
Wheat,97,51,37,7.0,67.76,22.26,53.01,Rabi
Sugarcane,104,54,79,6.5,123.11,31.53,68.26,Zaid
Cotton,68,39,45,6.59,97.51,33.04,59.39,Kharif
Sugarcane,138,71,73,7.1,147.69,25.63,82.77,Zaid
Maize,110,49,65,6.56,167.29,27.69,63.05,Kharif
Wheat,86,57,37,6.35,85.89,20.22,42.6,Rabi
Wheat,83,42,49,6.48,96.63,11.17,52.55,Rabi
Millet,41,48,34,6.67,94.95,22.84,36.64,Kharif
Cotton,63,35,43,7.4,90.41,27.24,43.35,Kharif
Millet,43,38,50,5.04,58.98,31.81,33.67,Kharif
Sugarcane,131,45,57,6.71,226.1,30.19,63.83,Kharif
Cotton,55,47,48,5.74,65.54,32.95,57.83,Kharif
Sugarcane,92,54,41,7.06,187.18,20.11,83.06,Kharif
Sugarcane,119,49,72,7.16,189.51,27.59,61.82,Kharif
Millet,42,39,45,6.06,61.2,20.72,47.05,Kharif
Wheat,67,56,52,6.2,88.85,17.64,47.13,Rabi
Cotton,60,29,54,5.68,128.38,28.34,46.13,Kharif
Rice,114,61,48,5.57,224.23,24.73,70.1,Kharif
Cotton,55,51,35,6.34,95.09,22.67,55.59,Kharif
Wheat,81,47,45,6.88,83.51,10.26,47.65,Rabi
Maize,89,61,51,5.87,110.53,28.93,50.6,Zaid
Millet,31,34,48,6.49,90.6,27.99,40.58,Kharif
Millet,32,27,25,6.39,72.71,20.21,48.6,Kharif
Millet,66,40,29,5.71,60.32,20.14,54.69,Kharif
Cotton,69,51,30,5.69,122.92,24.96,59.77,Kharif
Cotton,60,44,43,7.44,69.51,24.92,45.06,Kharif
Cotton,83,41,32,5.62,137.1,31.75,47.52,Kharif
Sugarcane,112,70,43,6.31,184.2,26.87,74.63,Kharif
Millet,69,36,37,6.6,59.96,23.44,49.11,Kharif
Rice,85,51,68,5.68,225.47,21.39,89.22,Kharif
Wheat,91,35,49,6.72,88.64,22.33,53.99,Rabi
Sugarcane,92,45,70,7.39,139.0,23.14,70.02,Kharif
Maize,85,64,50,6.44,177.71,21.96,63.5,Zaid
Millet,56,21,47,6.34,49.49,22.89,52.78,Kharif
Maize,87,47,51,6.14,173.95,28.97,50.87,Zaid
Sugarcane,102,45,68,6.8,202.01,29.97,61.58,Zaid
Rice,102,46,49,6.31,174.67,31.42,87.32,Kharif
Rice,90,63,45,6.38,228.22,30.34,76.47,Kharif
Millet,56,40,34,5.49,67.38,25.9,41.93,Kharif
Cotton,86,42,43,7.48,124.47,26.96,43.83,Kharif
Cotton,63,31,28,6.13,80.65,26.32,51.86,Kharif
Sugarcane,118,43,54,6.96,133.14,28.22,74.6,Kharif
Sugarcane,112,54,64,6.01,203.97,29.73,83.51,Kharif
Millet,52,47,35,5.44,85.52,29.04,31.5,Kharif
Sugarcane,102,68,78,6.68,244.73,28.32,63.74,Kharif
Cotton,57,27,54,6.92,116.57,27.97,48.46,Kharif
Wheat,69,42,54,6.69,116.57,22.02,44.11,Rabi
Wheat,98,59,36,6.93,84.17,21.39,48.24,Rabi
Maize,81,64,52,6.2,167.1,22.75,67.42,Kharif
Maize,89,36,44,6.32,121.11,25.16,62.12,Kharif
Maize,102,58,52,6.08,111.72,26.57,66.31,Zaid
Millet,68,41,30,5.69,89.86,22.85,41.53,Kharif
Cotton,77,34,52,7.28,123.93,21.39,57.53,Kharif
Rice,99,50,46,5.91,189.52,21.31,79.83,Kharif
Cotton,83,45,44,7.35,116.19,33.17,53.69,Kharif
Rice,87,44,72,6.37,214.97,33.58,85.11,Kharif
Rice,108,70,78,6.53,253.8,29.83,72.12,Kharif
Wheat,68,58,30,7.39,88.72,16.71,59.36,Rabi
Wheat,81,51,35,6.56,94.54,20.8,52.49,Rabi
Wheat,80,49,39,7.36,50.48,12.01,42.4,Rabi
Maize,94,62,44,6.94,138.28,23.54,65.85,Zaid
Cotton,86,48,52,5.88,115.25,25.71,54.68,Kharif
Sugarcane,132,79,40,6.27,165.06,20.97,73.93,Kharif
Cotton,83,37,38,6.07,122.91,21.06,41.91,Kharif
Wheat,69,32,40,6.21,84.01,13.12,56.07,Rabi
Wheat,93,57,48,6.38,91.26,20.75,47.42,Rabi
Sugarcane,117,47,68,6.4,224.66,33.16,77.46,Kharif
Maize,90,50,38,6.59,91.05,28.86,57.0,Zaid
Maize,105,62,38,5.84,103.0,20.86,56.71,Zaid
Millet,38,38,24,5.69,62.96,27.85,34.86,Kharif
Cotton,77,32,50,5.77,97.84,26.42,47.03,Kharif
Millet,30,49,46,6.94,40.49,31.35,43.7,Kharif
Wheat,68,55,53,6.69,82.87,14.05,46.56,Rabi
Rice,89,42,68,5.78,250.05,32.93,83.04,Kharif
Millet,45,34,21,5.79,60.6,23.82,53.24,Kharif
Maize,73,36,35,5.81,95.78,23.21,63.36,Kharif
Maize,104,38,38,6.37,169.59,25.16,58.81,Kharif
Millet,64,40,33,6.02,82.28,25.53,32.9,Kharif
Millet,40,37,45,6.42,62.04,21.12,50.5,Kharif
Sugarcane,142,79,68,6.49,132.77,28.87,68.71,Zaid
Maize,106,48,57,6.33,151.64,27.89,61.81,Kharif
Millet,42,40,50,6.7,67.57,23.82,47.55,Kharif
Sugarcane,123,79,61,6.04,215.34,31.76,77.51,Zaid
Sugarcane,147,76,49,7.34,208.59,26.61,83.7,Kharif
Wheat,100,53,38,6.93,51.31,20.86,55.46,Rabi
Sugarcane,114,74,77,7.29,148.76,29.31,73.69,Zaid
Maize,77,43,56,6.17,101.64,27.66,57.21,Kharif
Maize,72,38,63,6.73,151.52,24.63,64.32,Zaid
Rice,81,69,48,6.05,179.39,31.24,76.72,Kharif
Wheat,91,44,38,7.18,80.24,13.06,41.76,Rabi
Rice,89,67,52,5.66,251.17,23.11,80.18,Kharif
Cotton,76,53,37,5.96,97.79,34.43,46.37,Kharif
Maize,104,41,46,5.93,142.75,28.99,59.05,Zaid
Millet,63,46,41,6.61,88.59,21.44,46.34,Kharif
Millet,65,39,50,5.41,51.71,25.21,42.07,Kharif
Wheat,97,51,36,6.2,100.45,20.35,53.8,Rabi
Millet,65,44,27,6.13,47.84,22.63,36.0,Kharif
Wheat,81,54,60,6.22,62.25,20.6,43.39,Rabi
Millet,44,36,44,6.81,49.8,23.79,42.47,Kharif
Wheat,75,57,52,6.22,71.28,17.26,50.78,Rabi
Millet,31,48,37,6.99,79.27,30.26,46.17,Kharif
Cotton,86,55,27,6.72,136.07,33.85,40.49,Kharif
Maize,94,36,37,6.48,179.02,27.51,66.36,Zaid
Rice,114,53,75,5.61,167.68,20.78,80.64,Kharif
Sugarcane,113,71,42,6.18,181.11,25.42,84.37,Zaid
Cotton,72,47,45,5.6,140.06,27.59,55.32,Kharif
Sugarcane,139,68,49,6.91,236.83,30.09,73.42,Zaid
Cotton,85,44,40,7.24,70.37,34.98,57.52,Kharif
Sugarcane,138,80,75,6.52,130.91,34.3,75.44,Kharif
Cotton,67,30,34,5.69,111.48,32.41,50.76,Kharif
Cotton,58,37,40,5.92,133.45,31.85,42.96,Kharif
Cotton,55,50,28,5.72,109.36,28.48,44.06,Kharif
Cotton,88,54,44,6.22,135.46,22.18,48.77,Kharif
Millet,43,32,36,5.37,48.32,22.5,43.84,Kharif
Millet,55,25,37,6.12,90.67,20.59,42.38,Kharif
Millet,52,32,30,6.56,73.83,22.87,33.1,Kharif
Sugarcane,96,57,45,6.52,219.07,20.9,67.47,Kharif
Sugarcane,97,44,49,6.02,223.53,20.35,65.9,Kharif
Maize,93,60,36,6.28,115.18,27.08,62.82,Zaid
Cotton,59,25,53,7.04,116.24,30.68,52.34,Kharif
Rice,115,43,63,6.27,292.94,29.71,71.71,Kharif
Sugarcane,100,55,73,6.97,247.73,25.64,82.2,Kharif
Sugarcane,119,62,77,7.44,155.68,33.9,64.53,Kharif
Millet,69,32,43,6.62,53.19,20.12,42.7,Kharif
Rice,93,53,58,6.44,250.66,31.99,87.34,Kharif
Wheat,65,59,42,6.46,85.16,18.03,46.26,Rabi
Wheat,71,56,53,7.2,64.08,14.36,41.94,Rabi
Maize,104,47,60,6.58,158.29,21.91,52.89,Kharif
Rice,101,49,65,6.18,236.36,28.41,77.98,Kharif
Sugarcane,118,77,44,6.29,239.34,22.99,78.42,Kharif
Maize,105,48,48,5.97,85.46,22.82,51.11,Kharif
Wheat,60,31,39,7.37,102.38,24.04,43.86,Rabi
Cotton,78,30,26,5.73,112.55,34.35,50.24,Kharif
Cotton,68,51,42,6.75,128.66,29.5,40.69,Kharif
Wheat,77,32,47,7.06,90.9,10.67,55.94,Rabi
Cotton,69,35,42,5.52,85.7,33.45,50.68,Kharif
Cotton,81,48,52,6.53,135.45,25.53,59.54,Kharif
Rice,85,47,66,5.76,155.65,21.07,76.12,Kharif
Rice,114,51,51,6.23,231.79,20.6,72.78,Kharif
Rice,91,44,53,6.28,197.34,24.45,80.63,Kharif
Maize,80,39,40,5.98,143.17,21.92,53.78,Zaid
Wheat,94,32,30,7.1,71.34,17.32,53.1,Rabi
Rice,107,46,75,6.26,180.83,29.15,83.48,Kharif
Millet,67,38,50,5.13,76.19,27.13,30.31,Kharif
Millet,69,46,32,6.11,95.99,28.11,30.71,Kharif
Wheat,83,50,54,7.27,87.38,18.07,51.25,Rabi
Sugarcane,91,62,54,7.45,235.36,24.78,80.6,Kharif
Wheat,94,59,43,6.18,114.57,22.42,47.73,Rabi
Cotton,82,30,37,6.79,124.97,31.02,54.46,Kharif
Rice,119,47,61,5.84,258.03,34.1,82.49,Kharif
Millet,53,35,33,6.66,72.45,22.76,33.42,Kharif
Wheat,88,45,51,7.4,65.28,19.86,46.03,Rabi
Wheat,70,37,60,6.21,68.89,14.8,57.72,Rabi
Millet,32,46,44,5.1,74.73,31.99,49.63,Kharif
Wheat,91,36,50,7.3,117.17,18.5,53.65,Rabi
Millet,34,41,25,6.36,65.44,28.13,43.04,Kharif
Sugarcane,133,43,52,6.18,200.17,30.14,70.96,Zaid
Wheat,99,32,46,6.21,85.88,15.11,49.3,Rabi
Wheat,74,54,35,6.16,59.67,13.69,51.45,Rabi
Wheat,91,44,57,7.41,119.88,18.24,51.23,Rabi
Rice,105,47,57,6.78,168.02,20.27,85.8,Kharif
Maize,93,38,65,6.27,171.66,25.91,50.81,Kharif
Rice,106,46,42,5.72,202.34,34.24,71.56,Kharif
Rice,97,45,77,5.68,193.15,21.94,79.81,Kharif
Rice,120,50,70,6.07,153.36,31.56,82.82,Kharif
Sugarcane,91,42,54,7.1,213.09,28.01,72.32,Zaid
Sugarcane,122,55,59,6.91,135.41,29.46,82.32,Kharif
Rice,92,57,80,6.1,260.01,34.63,80.95,Kharif
Millet,57,46,40,5.51,47.87,28.5,30.98,Kharif
Maize,77,52,61,6.14,173.49,18.31,54.35,Kharif
Millet,36,49,33,6.71,84.09,27.72,43.2,Kharif
Maize,76,52,40,6.41,99.53,24.06,55.88,Kharif
Rice,110,41,61,5.71,207.65,25.43,87.34,Kharif
Rice,89,48,64,5.96,233.3,22.3,72.56,Kharif
Wheat,85,36,38,6.35,65.9,21.18,42.34,Rabi
Cotton,70,33,53,6.94,97.49,30.54,52.56,Kharif
Millet,58,38,29,5.55,73.63,28.86,32.03,Kharif
Cotton,90,37,55,6.09,145.77,28.28,43.65,Kharif
Sugarcane,98,70,63,7.46,249.41,22.24,70.68,Kharif
Cotton,70,51,50,7.46,139.96,32.3,44.19,Kharif
Wheat,84,32,31,7.29,65.79,15.42,48.96,Rabi
Sugarcane,102,74,50,6.34,248.27,27.13,73.32,Zaid
Maize,99,45,40,6.51,175.27,18.97,65.05,Zaid
Rice,111,45,49,5.96,184.47,31.84,72.8,Kharif
Sugarcane,99,46,76,7.2,164.22,30.02,72.68,Kharif
Millet,37,29,32,5.23,88.62,21.09,48.47,Kharif
Millet,45,29,25,5.55,74.4,29.14,45.94,Kharif
Rice,93,49,45,5.86,172.96,29.48,85.2,Kharif
Millet,55,21,29,5.02,71.9,26.51,42.5,Kharif
Sugarcane,144,75,49,6.66,166.86,26.45,68.09,Zaid
Wheat,73,39,57,6.84,112.84,11.5,49.88,Rabi
Cotton,70,54,43,6.53,62.25,22.48,51.73,Kharif
Cotton,58,39,53,7.04,127.56,32.8,42.11,Kharif
Maize,91,39,46,6.99,166.44,24.25,56.22,Kharif
Cotton,86,25,46,7.04,68.35,31.91,40.64,Kharif
Cotton,54,31,51,5.82,127.8,32.2,59.04,Kharif
Cotton,72,48,31,6.97,76.64,25.24,49.94,Kharif
Millet,54,26,34,5.45,47.7,25.79,33.95,Kharif
Rice,94,44,45,6.43,286.36,31.55,72.4,Kharif
